symbol,entry_date,exit_date,entry,exit,stop,target1,hold_days,path,r_multiple
ADBE,2023-11-10,2024-01-03,597.219970703125,573.6984733581543,573.6984733581543,686.8029663085937,35,stop_first,-1.0
ADBE,2023-11-14,2023-12-14,604.3300170898438,580.0667686462402,580.0667686462402,694.9795196533203,21,stop_first,-1.0
ADBE,2023-11-22,2023-12-04,619.719970703125,597.8469718933105,597.8469718933105,712.6779663085937,7,stop_first,-1.0
ADBE,2023-12-12,2023-12-14,633.6599731445312,614.3272308349609,614.3272308349609,728.7089691162109,2,stop_first,-1.0
TXN,2016-03-18,2016-06-17,44.04442596435547,47.84269332885742,43.00696165785793,50.651089859008785,63,time_only,3.661106546715647
TXN,2016-03-29,2016-06-27,44.29130172729492,45.862831115722656,43.32500684764693,50.93499698638916,63,time_only,1.626345561305494
TXN,2016-03-30,2016-04-07,45.03193664550781,44.056962312113114,44.056962312113114,51.78672714233398,6,stop_first,-1.0
TXN,2016-04-13,2016-04-19,45.64913558959961,44.60183595852493,44.60183595852493,52.49650592803955,4,stop_first,-1.0
TXN,2016-05-26,2016-06-27,47.1827392578125,45.979684963486584,45.979684963486584,54.26015014648437,21,stop_first,-1.0
TXN,2016-05-27,2016-06-27,47.37683868408203,46.25705435034335,46.25705435034335,54.483364486694335,20,stop_first,-1.0
TXN,2016-06-06,2016-06-27,47.58646774291992,46.46901387361891,46.46901387361891,54.724437904357906,15,stop_first,-1.0
TXN,2016-06-07,2016-06-27,47.79610824584961,46.68855294586132,46.68855294586132,54.96552448272705,14,stop_first,-1.0
TXN,2016-06-08,2016-06-24,48.1998405456543,47.1004378615525,47.1004378615525,55.42981662750244,12,stop_first,-1.0
TXN,2016-06-23,2016-06-24,49.14706039428711,48.16819788968167,48.16819788968167,56.51911945343017,1,stop_first,-1.0
TXN,2016-07-11,2016-10-07,49.22471237182617,55.31948471069336,47.90053864543129,56.608419227600095,63,time_only,4.6026984355447516
TXN,2016-07-12,2016-10-10,49.98558807373047,54.58573532104492,48.65500947042515,57.483426284790035,63,time_only,3.457253285064953
TXN,2016-07-13,2016-10-11,50.109825134277344,53.67246627807617,48.80545036703996,57.62629890441894,63,time_only,2.7313017955294905
